tweet_id,favorites,retweets,user_followers,user_favourites,date_time
688064179421470721,1716,357,8796142,145903,2016-01-15 18:24:18+00:00
687841446767013888,5393,2472,8795460,145902,2016-01-15 03:39:15+00:00
687826841265172480,2716,1107,8796142,145903,2016-01-15 02:41:12+00:00
687818504314159109,2454,935,8796142,145903,2016-01-15 02:08:05+00:00
687807801670897665,2373,711,8796142,145903,2016-01-15 01:25:33+00:00
687732144991551489,1741,656,8796142,145903,2016-01-14 20:24:55+00:00
687704180304273409,2409,832,8796142,145903,2016-01-14 18:33:48+00:00
687664829264453632,1918,504,8796142,145903,2016-01-14 15:57:26+00:00
687494652870668288,1881,568,8796142,145903,2016-01-14 04:41:12+00:00
687480748861947905,1585,235,8796142,145903,2016-01-14 03:45:57+00:00
687476254459715584,1967,525,8796142,145903,2016-01-14 03:28:06+00:00
687460506001633280,2041,540,8796142,145903,2016-01-14 02:25:31+00:00
687399393394311168,1871,609,8796142,145903,2016-01-13 22:22:41+00:00
687317306314240000,19923,9062,8796142,145903,2016-01-13 16:56:30+00:00
687312378585812992,4315,1872,8796142,145903,2016-01-13 16:36:55+00:00
687127927494963200,5374,2241,8796142,145903,2016-01-13 04:23:58+00:00
687124485711986689,2154,499,8796142,145903,2016-01-13 04:10:18+00:00
687109925361856513,5734,2426,8796142,145903,2016-01-13 03:12:26+00:00
687102708889812993,2321,966,8796142,145903,2016-01-13 02:43:46+00:00
687096057537363968,2215,599,8796142,145903,2016-01-13 02:17:20+00:00
686947101016735744,8544,3150,8796142,145903,2016-01-12 16:25:26+00:00
686760001961103360,3487,1364,8796142,145903,2016-01-12 04:01:58+00:00
686749460672679938,3437,1438,8796142,145903,2016-01-12 03:20:05+00:00
686730991906516992,4095,1186,8796142,145903,2016-01-12 02:06:41+00:00
686683045143953408,2794,788,8796142,145903,2016-01-11 22:56:10+00:00
686618349602762752,3672,1350,8796142,145903,2016-01-11 18:39:05+00:00
686606069955735556,1872,538,8796142,145903,2016-01-11 17:50:18+00:00
